family	total	expected_invalid	expected_valid	k_mathsat_invalid	k_mathsat_valid	k_z3_invalid	k_z3_valid	bmc_mathsat_invalid	bmc_mathsat_valid	bmc_z3_invalid	bmc_z3_valid
handcrafted	14	1	13	1	2	1	2	1	0	1	0
hycomp	7	4	3	0	0	2	0	0	0	2	0
hyst	65			6	12	15	12	7	0	15	0
isat3	1			0	0	0	0	0	0	0	0
isat3-cfg	10	3	7	1	4	2	6	2	0	3	0
nuxmv	2	0	2	0	0	0	0	0	0	0	0
sas13	13	5	8	5	0	5	0	5	0	5	0
tcm	2	0	2	0	2	0	2	0	0	0	0
total	114			13	20	25	22	15	0	26	0
